sample_ID,date,site_name,source,d18O,d2H,lat,lon,cluster_location_time,county,elevation
139,1/1/2018,"GetGo at Centerridge Rd and Columbia Rd 252 and 20 Westlake, OH tap",Lake Erie,-6.810654588,-51.75693387,41.45666389,-81.90153056,Cleveland_Jan-Mar-18,Cuyahoga,217
132,1/1/2018,"Circle K gas station
at 76 and 3 seville
Tap",GW,-8.93,-58.62,41.03584722,-81.86499167,Cleveland_Jan-Mar-18,Medina,325
132.01,7/28/2018,"Circle K gas station
at 76 and 3 seville
Tap",GW,-8.9,-58.45,41.03584722,-81.86499167,Cleveland_Jul-Aug-18,Medina,325
134,1/1/2018,"Speedway at N Court ST and Forest meadows Dr, Medina, OH tap",Lake Erie,-6.439860459,-48.77413026,41.15159444,-81.86298889,Cleveland_Jan-Mar-18,Medina,306
135,1/1/2018,"Speedway at 42
Pearl Rd and Oxford
Dr Tap, Brunswick
OH",GW,-6.3,-48.01,41.23296111,-81.84114167,Cleveland_Jan-Mar-18,Medina,334
135.01,7/28/2018,"Speedway at 42
Pearl Rd and Oxford
Dr Tap, Brunswick
OH",GW,-6.91,-51.71,41.23296111,-81.84114167,Cleveland_Jul-Aug-18,Medina,334
138,1/1/2018,"Cirlce k Brookepark Rd at 237 North of Airport, Tap Nasaglenn",Lake Erie,-6.767218593,-51.14807653,41.41911389,-81.83251944,Cleveland_Jan-Mar-18,Cuyahoga,235
136,1/1/2018,"Sheetz at Whitney
Rd and Pearl Rd/ 42
Middleburg Hts, OH
tap",GW,-6.51,-49.63,41.34346389,-81.82559722,Cleveland_Jan-Mar-18,Cuyahoga,257
136.01,7/28/2018,"Sheetz at Whitney
Rd and Pearl Rd/ 42
Middleburg Hts, OH
tap",GW,-6.84,-51.5,41.34346389,-81.82559722,Cleveland_Jul-Aug-18,Cuyahoga,257
137,1/1/2018,Circle K at snow and smith Brookepark tap,Lake Erie,-6.427844736,-48.59972294,41.40426667,-81.80456667,Cleveland_Jan-Mar-18,Cuyahoga,243
140,1/1/2018,"McDonalds on 117th s of detroit Lake wood, OH tap",Lake Erie,-6.506492957,-49.52516751,41.48268333,-81.76924722,Cleveland_Jan-Mar-18,Cuyahoga,212
141,1/1/2018,"Big Creek Brooklyn, OH Memphis Ave and Tiedman Rd Metro park",Lake Erie,-7.77595068,-56.16783592,41.44214167,-81.75493889,Cleveland_Jan-Mar-18,Cuyahoga,235
142,1/1/2018,Sheetz Ridge Rd and Day Dr Parma. OH Tap,Lake Erie,-6.601886018,-50.1743819,41.38013889,-81.73528056,Cleveland_Jan-Mar-18,Cuyahoga,287
209,1/4/2018,"Best Stop at 179 &
303 Richfield OH tap",GW,-9.14,-58.68,41.23993333,-81.653825,Cleveland_Jan-Mar-18,Summit,372
209.01,7/31/2018,"Best Stop at 179 &
303 Richfield OH tap",GW,-8.81,-57.18,41.23993333,-81.653825,Cleveland_Jul-Aug-18,Summit,372
208,1/4/2018,"8952 Brecksville Rd
& shell gas station
Arlington St
Brecksville OH tap",GW,-6.41,-48.73,41.31866944,-81.62736389,Cleveland_Jan-Mar-18,Cuyahoga,262
