site_name,cluster_ID,cluster_location,cluster_location_time,lat,lon,site_comments,sample_ID,start_time,collection_time_zone,collection_date,year,season,month,sample_comments,d2H,d18O,d2H_analytical_sd,d18O_analytical_sd,source,project_ID,d_ex,county,state,elevation
ABQ airport,9,Albuquerque,Albuquerque,35.04828558,-106.6167614,,19-286_USTAP-19-140,-7,-7,3/11/2019 17:07,2019,fall,november,,-92.9954255,-12.47949403,0.277803957,0.048059892,SPATIAL,p225,6.84052674,Bernalillo,New Mexico,1597
Circle K,9,Albuquerque,Albuquerque,35.0259632,-106.6474992,,19-286_USTAP-19-141,-7,-7,3/11/2019 17:38,2019,fall,november,,-92.84875294,-12.43090057,0.07156793,0.021306229,SPATIAL,p225,6.59845162,Bernalillo,New Mexico,1548
Walgreens,9,Albuquerque,Albuquerque,35.02774925,-106.6810426,,19-286_USTAP-19-142,-7,-7,3/11/2019 17:46,2019,fall,november,,-93.07326568,-12.46420137,0.082782369,0.016206358,SPATIAL,p225,6.64034528,Bernalillo,New Mexico,1500
Murphy Express,9,Albuquerque,Albuquerque,35.03797394,-106.7126818,,19-286_USTAP-19-143,-7,-7,3/11/2019 18:00,2019,fall,november,,-93.31099637,-12.48737342,0.239852816,0.01816042,SPATIAL,p225,6.58799099,Bernalillo,New Mexico,1512
Speedway,9,Albuquerque,Albuquerque,35.08286752,-106.7111963,,19-286_USTAP-19-144,-7,-7,3/11/2019 18:18,2019,fall,november,,-92.79232142,-12.3789554,0.203036328,0.060840821,SPATIAL,p225,6.23932178,Bernalillo,New Mexico,1537
Speedway,9,Albuquerque,Albuquerque,35.11583651,-106.7009237,,19-286_USTAP-19-145,-7,-7,3/11/2019 18:27,2019,fall,november,,-93.56482691,-12.56199468,0.192446627,0.043353202,SPATIAL,p225,6.93113053,Bernalillo,New Mexico,1544
Walgreens,9,Albuquerque,Albuquerque,35.15011344,-106.6852253,,19-286_USTAP-19-146,-7,-7,3/11/2019 18:37,2019,fall,november,,-93.19833195,-12.45844877,0.124803748,0.046931083,SPATIAL,p225,6.46925821,Bernalillo,New Mexico,1533
Target,9,Albuquerque,Albuquerque,35.18567358,-106.6646044,,19-286_USTAP-19-147,-7,-7,3/11/2019 18:43,2019,fall,november,,-94.76482494,-12.70338604,0.170012065,0.01791443,SPATIAL,p225,6.86226338,Bernalillo,New Mexico,1529
Valero,9,Albuquerque,Albuquerque,35.15650442,-106.5936658,,19-286_USTAP-19-148,-7,-7,3/11/2019 18:58,2019,fall,november,,-93.3022938,-12.47013456,0.094722633,0.029149887,SPATIAL,p225,6.45878268,Bernalillo,New Mexico,1565
Circle K,9,Albuquerque,Albuquerque,35.1526388,-106.6315143,,19-286_USTAP-19-149,-7,-7,3/11/2019 19:04,2019,fall,november,,-93.3938009,-12.49420164,0.146461852,0.047142915,SPATIAL,p225,6.55981222,Bernalillo,New Mexico,1518
Speedway,9,Albuquerque,Albuquerque,35.11934638,-106.6410732,,19-286_USTAP-19-150,-7,-7,3/11/2019 19:13,2019,fall,november,,-93.25224477,-12.4990946,0.103441004,0.039564797,SPATIAL,p225,6.74051203,Bernalillo,New Mexico,1524
Hotel Parq Central,9,Albuquerque,Albuquerque,35.0825299,-106.63787,,19-286_USTAP-19-151,-7,-7,4/11/2019 17:51,2019,fall,november,,-94.29315371,-12.67755558,0.207870706,0.031395827,SPATIAL,p225,7.12729093,Bernalillo,New Mexico,1531
Ninja Park,9,Albuquerque,Albuquerque,35.12251491,-106.6159979,,19-286_USTAP-19-152,-7,-7,5/11/2019 15:35,2019,fall,november,,-93.4893003,-12.53535598,0.195313903,0.039267056,SPATIAL,p225,6.79354754,Bernalillo,New Mexico,1539
Maverick,9,Albuquerque,Albuquerque,35.14021743,-106.5945514,,19-286_USTAP-19-153,-7,-7,5/11/2019 15:42,2019,fall,november,,-93.88161018,-12.59722159,0.218735667,0.012876987,SPATIAL,p225,6.89616254,Bernalillo,New Mexico,1569
Burger King,9,Albuquerque,Albuquerque,35.18383256,-106.5798399,,19-286_USTAP-19-154,-7,-7,5/11/2019 15:53,2019,fall,november,,-93.08715048,-12.42591315,0.148671266,0.052114778,SPATIAL,p225,6.32015472,Bernalillo,New Mexico,1607
Hope Plaza,9,Albuquerque,Albuquerque,35.18370091,-106.5472636,,19-286_USTAP-19-155,-7,-7,5/11/2019 16:02,2019,fall,november,,-92.8519274,-12.38041674,0.142968984,0.024307925,SPATIAL,p225,6.19140652,Bernalillo,New Mexico,1669
Albertsons,9,Albuquerque,Albuquerque,35.15337652,-106.498841,,19-286_USTAP-19-157,-7,-7,5/11/2019 16:17,2019,fall,november,,-93.44114795,-12.53188022,0.186349286,0.027192361,SPATIAL,p225,6.81389381,Bernalillo,New Mexico,1868
Smiths,9,Albuquerque,Albuquerque,35.1465008,-106.5495505,,19-286_USTAP-19-158,-7,-7,5/11/2019 16:28,2019,fall,november,,-93.369101,-12.53362839,0.077114203,0.026796737,SPATIAL,p225,6.89992612,Bernalillo,New Mexico,1666
McDonalds,9,Albuquerque,Albuquerque,35.13085091,-106.5525351,,19-286_USTAP-19-159,-7,-7,5/11/2019 16:39,2019,fall,november,,-93.45798634,-12.55538912,0.099163674,0.027534975,SPATIAL,p225,6.98512662,Bernalillo,New Mexico,1658
Twisters,9,Albuquerque,Albuquerque,35.13117142,-106.5792893,,19-286_USTAP-19-160,-7,-7,5/11/2019 16:56,2019,fall,november,,-93.26147105,-12.4859859,0.132462902,0.023177215,SPATIAL,p225,6.62641615,Bernalillo,New Mexico,1610
Peter Piper Pizza,9,Albuquerque,Albuquerque,35.11718226,-106.5868585,,19-286_USTAP-19-161,-7,-7,5/11/2019 17:05,2019,fall,november,,-94.08699212,-12.66021964,0.074500038,0.019778679,SPATIAL,p225,7.194765,Bernalillo,New Mexico,1578
USA Gas,9,Albuquerque,Albuquerque,35.10866234,-106.6044638,,19-286_USTAP-19-162,-7,-7,5/11/2019 17:13,2019,fall,november,,-93.45137879,-12.5151002,0.115197148,0.022142611,SPATIAL,p225,6.66942281,Bernalillo,New Mexico,1578
Circle K,9,Albuquerque,Albuquerque,35.10152657,-106.6043712,,19-286_USTAP-19-163,-7,-7,5/11/2019 17:18,2019,fall,november,,-93.69434225,-12.57228805,0.109140573,0.03710485,SPATIAL,p225,6.88396215,Bernalillo,New Mexico,1578
Taco Bell,9,Albuquerque,Albuquerque,35.08146068,-106.6127985,,19-286_USTAP-19-164,-7,-7,5/11/2019 17:25,2019,fall,november,,-93.53308591,-12.54118607,0.119853755,0.021052662,SPATIAL,p225,6.79640265,Bernalillo,New Mexico,1567
Co-op,9,Albuquerque,Albuquerque,35.07945917,-106.6052286,,19-286_USTAP-19-165,-7,-7,6/11/2019 9:00,2019,fall,november,,-93.1104497,-12.49975293,0.207076854,0.040058639,SPATIAL,p225,6.88757374,Bernalillo,New Mexico,1612
Bobs Burgers,9,Albuquerque,Albuquerque,35.07712481,-106.5847958,,19-286_USTAP-19-166,-7,-7,6/11/2019 9:06,2019,fall,november,,-93.06456278,-12.49727214,0.176561608,0.069877966,SPATIAL,p225,6.91361434,Bernalillo,New Mexico,1622
Circle K,9,Albuquerque,Albuquerque,35.07439126,-106.5509906,,19-286_USTAP-19-167,-7,-7,6/11/2019 9:15,2019,fall,november,,-92.55121502,-12.40337357,0.262516842,0.042310017,SPATIAL,p225,6.67577354,Bernalillo,New Mexico,1642
Alon,9,Albuquerque,Albuquerque,35.06801161,-106.4982674,,19-286_USTAP-19-168,-7,-7,6/11/2019 9:23,2019,fall,november,,-91.96733594,-12.40702082,0.149714307,0.031461984,SPATIAL,p225,7.28883062,Bernalillo,New Mexico,1794
Valero,9,Albuquerque,Albuquerque,35.10949619,-106.4980832,,19-286_USTAP-19-169,-7,-7,6/11/2019 9:31,2019,fall,november,,-91.83340628,-12.29756669,0.197306218,0.026072629,SPATIAL,p225,6.54712724,Bernalillo,New Mexico,1880
