"","cluster_location","total_area","ruggedness","streamflow","precip","pop","medincome","popdensity","water_use","surfacewater_total","groundwater_total"
"1","Albuquerque",279.377197780468,1818,0.143605160559046,294.133389703159,679037,54308,224.261803999222,138.61,81.71,56.9
"2","Ann Arbor",40.4826311169224,184,0.0190598036029509,887.630113874163,368385,75730,196.795956399235,30.3,15.9,14.4
"3","Athens",111.535399273144,842,0.0135788010019395,1295.17081705729,166146,53267.0181165962,208.647548410213,18.16,12.21,5.95
"4","Atlanta",480.019822439935,1111,0.0186917638236826,1355.1258149858,2563490,72882.0197590004,849.179369511534,258.96,255.22,3.74
"5","Bellingham",26.8968865113168,1984,0.0413665492087603,1109.22231445312,224538,65420,38.5160440932922,109.22,69.25,39.97
"6","Cedar City",12.4447972035351,2299,0.00512858767372866,414.594960530599,53148,52045,6.20706311087307,173.6,28.68,144.92
"7","Cleveland-Akron",3833.09233238547,308,0.0146323572763282,1064.68249617867,1744003,57987.579779966,443.083314612131,560.08,542,18.08
"8","Colorado Springs",251.585333130697,2363,0.00516845729379427,490.224006289528,710499,71517,129.249708214332,104.15,79.77,24.38
"9","Dallas Fort Worth",3250.20415806128,364,0.0781381420600768,1003.59090394078,6056668,71816.2699789719,668.264037061964,705.43,666.46,38.97
"10","Denver",1447.03699678199,2477,0.0321116901597836,443.598433176676,2848623,80067.9105718798,299.279105998235,744.63,709.24,35.39
"11","Flagstaff",40.7858572072139,2036,0.00244444026611745,538.702931722005,142254,59000,2.94357023318318,38.97,20.68,18.29
"12","Gainesville",208.58442464359,61,0.00759155268315226,1364.81674194336,268105,50089,107.353551735566,45.65,0.21,45.44
"13","La Crosse",94.1831175965233,211,0.78532708968435,936.813066755022,187582,60150.4346685716,42.8272960573516,45.42,15.6,29.82
"14","Lawrence",35.7665551361268,241,1.07038335005442,989.21620686849,121304,61020,98.388220400988,18.96,16.24,2.72
"15","Los Angeles",9313.17861516492,2838,0.00236512074035191,402.063131087866,17965048,72647.1646875644,193.397023448156,3570.09,1637.98,1932.11
"16","Minneapolis",406.528210624573,199,0.310759064263624,844.701741890285,2155669,78163.4184436479,676.682221264965,514.31,379.75,134.56
"17","Morristown",548.319393372937,614,0.00815021572634578,1275.23553466797,2176772,88768.5584039118,815.541098456587,289.05,192.25,96.8
"18","Nashville",743.806255506187,448,0.170055136948283,1363.39680136404,1287598,72908.6468866836,242.940180262877,200.36,193.86,6.5
"19","Phoenix",6952.49643760125,2027,0.0888792066873351,249.618078688945,4860338,67169.9747081376,128.493685402262,3078.8,1456.92,1621.88
"20","Portland",226.275486958036,2446,2.30792559356543,1219.44748834978,1443632,75064.8466146497,185.017597507232,610.95,433.47,177.48
"21","Salt Lake City",810.661790973404,2142,0.0304646033660642,544.619750976562,1496976,79574.6967820459,401.261118320254,230.61,124.07,106.54
"22","San Diego",2743.59780343752,2837,0.00246518256779596,326.537807970162,3323970,82426,300.006707984478,532.8,427.27,105.53
"23","San Francisco",2574.04992427078,973,0.00383248961055263,624.27843311165,6633599,117490.192995688,654.354415175442,867.74,664.21,203.53
"24","San Marcos",47.4677788653698,534,0.0236368775367737,905.391723632812,222827,68724,125.707398644616,13.38,4.82,8.56
"25","St Petersburg",71.2666588604749,54,0.0105949753413497,1423.48821751417,970985,56419,891.64973335239,26.44,0.39,26.05
"26","State College",64.5236078480391,672,0.00386062788311392,1091.45324707031,162264,61921,56.1395355695861,40.9,3.61,37.29
"27","Wooster",7.58202809411955,242,0.0113935838453472,1027.63696289062,116063,61424,80.3865257684387,15.84,1.46,14.38
"28","Youngstown",680.369920273902,341,0.0181938594862543,1050.49708839699,427596,47421.2706386402,154.900253719851,57.66,52.06,5.6
